Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
26-06-2023,Monday,June,Q2,2023,422.440002,430.959991,414.899994,415.940002,415.940002,4640000
23-06-2023,Friday,June,Q2,2023,418.589996,425.820007,417.730011,424.019989,424.019989,8293900
22-06-2023,Thursday,June,Q2,2023,422.929993,424.709991,418.679993,422.480011,422.480011,4869500
21-06-2023,Wednesday,June,Q2,2023,432.649994,434.549988,422.540009,424.450012,424.450012,5146400
20-06-2023,Tuesday,June,Q2,2023,430.179993,440,430,434.700012,434.700012,4756000
16-06-2023,Friday,June,Q2,2023,446.149994,447.51001,430.899994,431.959991,431.959991,8745500
15-06-2023,Thursday,June,Q2,2023,444.100006,448.649994,439.5,445.269989,445.269989,7099900
14-06-2023,Wednesday,June,Q2,2023,434.98999,447.329987,433.5,440.859985,440.859985,8413100
13-06-2023,Tuesday,June,Q2,2023,430.01001,437.269989,428.399994,435.730011,435.730011,7820500
12-06-2023,Monday,June,Q2,2023,418.829987,424.700012,416.570007,423.970001,423.970001,5959500
09-06-2023,Friday,June,Q2,2023,424.5,425.899994,414.76001,420.019989,420.019989,12363000
08-06-2023,Thursday,June,Q2,2023,399.769989,409.540009,396.339996,409.369995,409.369995,5991100
07-06-2023,Wednesday,June,Q2,2023,410.429993,418.950012,399.230011,399.769989,399.769989,11932400
06-06-2023,Tuesday,June,Q2,2023,405,405.119995,396.929993,399.290009,399.290009,4991500
05-06-2023,Monday,June,Q2,2023,400.470001,413.859985,400.149994,403.540009,403.540009,7247400
02-06-2023,Friday,June,Q2,2023,402.890015,406.579987,395.899994,400.470001,400.470001,5897300
01-06-2023,Thursday,June,Q2,2023,397.410004,407.519989,393.079987,403.130005,403.130005,7160100
31-05-2023,Wednesday,May,Q2,2023,391.890015,396.26001,388.910004,395.230011,395.230011,6988000
30-05-2023,Tuesday,May,Q2,2023,397.480011,405.109985,385.790009,392.980011,392.980011,10865000
26-05-2023,Friday,May,Q2,2023,361.100006,383.76001,356,378.880005,378.880005,9360400
25-05-2023,Thursday,May,Q2,2023,359.609985,367.450012,357.420013,359,359,6263100
24-05-2023,Wednesday,May,Q2,2023,356.929993,367.149994,356.630005,364.850006,364.850006,7973300
23-05-2023,Tuesday,May,Q2,2023,360.23999,364.170013,354.309998,355.98999,355.98999,6866100
22-05-2023,Monday,May,Q2,2023,365.359985,372.01001,362.5,363.01001,363.01001,5406400
19-05-2023,Friday,May,Q2,2023,369.859985,369.98999,363.809998,365.359985,365.359985,7850900
18-05-2023,Thursday,May,Q2,2023,347.25,375.869995,346.369995,371.290009,371.290009,20925200
17-05-2023,Wednesday,May,Q2,2023,331.76001,341.380005,329.619995,339.959991,339.959991,3958800
16-05-2023,Tuesday,May,Q2,2023,334,335.170013,331.910004,333.75,333.75,3332200
15-05-2023,Monday,May,Q2,2023,340.619995,341.899994,335.540009,335.890015,335.890015,3653000
12-05-2023,Friday,May,Q2,2023,344.76001,348.170013,337.359985,339.890015,339.890015,6079900
11-05-2023,Thursday,May,Q2,2023,334.980011,345.470001,331.839996,344.76001,344.76001,8033500
10-05-2023,Wednesday,May,Q2,2023,335.209991,337.109985,329.51001,335.420013,335.420013,4289900
09-05-2023,Tuesday,May,Q2,2023,330.670013,336.320007,329.73999,332.140015,332.140015,5544900
08-05-2023,Monday,May,Q2,2023,322.98999,332.559998,322.029999,331.209991,331.209991,5488600
05-05-2023,Friday,May,Q2,2023,323.609985,324.149994,319.440002,322.76001,322.76001,3988600
04-05-2023,Thursday,May,Q2,2023,319.01001,323.609985,317.950012,320.779999,320.779999,3879700
03-05-2023,Wednesday,May,Q2,2023,317.549988,324.619995,315.850006,319.299988,319.299988,5064100
02-05-2023,Tuesday,May,Q2,2023,325,326.070007,315.619995,317.549988,317.549988,4318600
01-05-2023,Monday,May,Q2,2023,329.440002,331.230011,318.089996,324.119995,324.119995,5341500
28-04-2023,Friday,April,Q2,2023,325.23999,330.809998,324,329.929993,329.929993,4221900
27-04-2023,Thursday,April,Q2,2023,324.299988,327.450012,317.440002,325.850006,325.850006,5618800
26-04-2023,Wednesday,April,Q2,2023,321.359985,325.899994,320.470001,321.149994,321.149994,4623200
25-04-2023,Tuesday,April,Q2,2023,328.5,328.660004,321.100006,322.549988,322.549988,5426600
24-04-2023,Monday,April,Q2,2023,330.200012,334.660004,326.75,329.019989,329.019989,5586600
21-04-2023,Friday,April,Q2,2023,323,328.290009,319.5,327.980011,327.980011,6348000
20-04-2023,Thursday,April,Q2,2023,320.390015,331.429993,318.329987,325.350006,325.350006,9947800
19-04-2023,Wednesday,April,Q2,2023,324.209991,325.75,316.100006,323.119995,323.119995,22128300
18-04-2023,Tuesday,April,Q2,2023,335,337.190002,330.5,333.700012,333.700012,17944500
17-04-2023,Monday,April,Q2,2023,338,338.390015,327.5,332.720001,332.720001,6136000
14-04-2023,Friday,April,Q2,2023,342.940002,344.850006,336.410004,338.630005,338.630005,5350500
13-04-2023,Thursday,April,Q2,2023,339.98999,346.429993,338.75,346.190002,346.190002,7406400
12-04-2023,Wednesday,April,Q2,2023,340.809998,342.799988,330.040009,331.029999,331.029999,3965400
11-04-2023,Tuesday,April,Q2,2023,343.450012,347.140015,337.640015,338.209991,338.209991,4044800
10-04-2023,Monday,April,Q2,2023,335.269989,339.880005,333.359985,338.98999,338.98999,2657900
06-04-2023,Thursday,April,Q2,2023,339.339996,340.480011,332.630005,339.329987,339.329987,4660500
05-04-2023,Wednesday,April,Q2,2023,345.299988,345.429993,336.25,342.350006,342.350006,4205500
04-04-2023,Tuesday,April,Q2,2023,348.48999,349.799988,343.950012,346.75,346.75,3298100
03-04-2023,Monday,April,Q2,2023,341.829987,348.579987,340.399994,348.279999,348.279999,4413700
31-03-2023,Friday,March,Q1,2023,340.049988,345.839996,337.200012,345.480011,345.480011,5610200
30-03-2023,Thursday,March,Q1,2023,340.269989,343.290009,335.299988,338.429993,338.429993,7131500
29-03-2023,Wednesday,March,Q1,2023,326.290009,332.850006,325.730011,332.029999,332.029999,6287300
28-03-2023,Tuesday,March,Q1,2023,326.059998,333.320007,321.279999,323.519989,323.519989,6489400
27-03-2023,Monday,March,Q1,2023,327.549988,336.440002,324.410004,327.660004,327.660004,8625800
24-03-2023,Friday,March,Q1,2023,320.630005,331.829987,320.630005,328.390015,328.390015,12991700
23-03-2023,Thursday,March,Q1,2023,304.679993,322.779999,304.140015,320.369995,320.369995,15653300
